state,gender,year,name,number
TX,M,1910,John,411
TX,M,1910,James,403
TX,M,1910,William,397
TX,M,1910,Robert,276
TX,M,1910,Charles,129
TX,M,1910,Jose,123
TX,M,1910,David,59
TX,M,1910,Daniel,27
TX,M,1910,Michael,6
TX,M,1911,James,435
TX,M,1911,John,374
TX,M,1911,William,371
TX,M,1911,Robert,285
TX,M,1911,Charles,154
TX,M,1911,Jose,131
TX,M,1911,David,65
TX,M,1911,Daniel,24
TX,M,1911,Michael,7
TX,M,1912,James,877
TX,M,1912,John,859
TX,M,1912,William,828
TX,M,1912,Robert,556
TX,M,1912,Charles,305
TX,M,1912,Jose,181
TX,M,1912,David,100
TX,M,1912,Daniel,60
TX,M,1912,Michael,8
TX,M,1913,James,1146
TX,M,1913,William,1079
TX,M,1913,John,981
TX,M,1913,Robert,679
TX,M,1913,Charles,472
TX,M,1913,Jose,233
TX,M,1913,David,142
TX,M,1913,Daniel,78
TX,M,1913,Michael,20
TX,M,1914,James,1397
TX,M,1914,John,1234
TX,M,1914,William,1184
TX,M,1914,Robert,838
TX,M,1914,Charles,477
TX,M,1914,Jose,299
TX,M,1914,David,160
TX,M,1914,Daniel,107
TX,M,1914,Michael,18
TX,M,1915,James,1780
TX,M,1915,William,1527
TX,M,1915,John,1471
TX,M,1915,Robert,1064
TX,M,1915,Charles,710
TX,M,1915,Jose,361
TX,M,1915,David,236
TX,M,1915,Daniel,104
TX,M,1915,Michael,16
TX,M,1916,James,1752
TX,M,1916,John,1578
TX,M,1916,William,1524
TX,M,1916,Robert,1152
TX,M,1916,Charles,700
TX,M,1916,Jose,357
TX,M,1916,David,258
TX,M,1916,Daniel,140
TX,M,1916,Michael,20
TX,M,1916,Christopher,7
TX,M,1917,James,1926
TX,M,1917,William,1668
TX,M,1917,John,1640
TX,M,1917,Robert,1179
TX,M,1917,Charles,757
TX,M,1917,Jose,425
TX,M,1917,David,282
TX,M,1917,Daniel,132
TX,M,1917,Michael,14
TX,M,1918,James,2222
TX,M,1918,John,1781
TX,M,1918,William,1751
TX,M,1918,Robert,1293
TX,M,1918,Charles,846
TX,M,1918,Jose,418
TX,M,1918,David,296
TX,M,1918,Daniel,140
TX,M,1918,Michael,22
TX,M,1918,Christopher,5
TX,M,1919,James,2270
TX,M,1919,William,1733
TX,M,1919,John,1703
TX,M,1919,Robert,1262
TX,M,1919,Charles,885
TX,M,1919,Jose,526
TX,M,1919,David,347
TX,M,1919,Daniel,142
TX,M,1919,Michael,16
TX,M,1919,Christopher,7
TX,M,1920,James,2527
TX,M,1920,William,2075
TX,M,1920,John,1969
TX,M,1920,Robert,1538
TX,M,1920,Charles,1062
TX,M,1920,Jose,659
TX,M,1920,David,426
TX,M,1920,Daniel,199
TX,M,1920,Michael,25
TX,M,1920,Christopher,9
TX,M,1921,James,2597
TX,M,1921,William,2015
TX,M,1921,John,1943
TX,M,1921,Robert,1641
TX,M,1921,Charles,1061
TX,M,1921,Jose,633
TX,M,1921,David,377
TX,M,1921,Daniel,169
TX,M,1921,Michael,19
TX,M,1921,Christopher,13
TX,M,1922,James,2549
TX,M,1922,William,1962
TX,M,1922,John,1935
TX,M,1922,Robert,1576
TX,M,1922,Charles,1098
TX,M,1922,Jose,659
TX,M,1922,David,366
TX,M,1922,Daniel,228
TX,M,1922,Michael,41
TX,M,1922,Christopher,13
TX,M,1923,James,2736
TX,M,1923,William,1994
TX,M,1923,John,1919
TX,M,1923,Robert,1618
TX,M,1923,Charles,1090
TX,M,1923,Jose,656
TX,M,1923,David,413
TX,M,1923,Daniel,186
TX,M,1923,Michael,19
TX,M,1923,Christopher,6
TX,M,1924,James,2866
TX,M,1924,William,1978
TX,M,1924,John,1969
TX,M,1924,Robert,1757
TX,M,1924,Charles,1186
TX,M,1924,Jose,682
TX,M,1924,David,390
TX,M,1924,Daniel,226
TX,M,1924,Michael,23
TX,M,1924,Christopher,8
TX,M,1925,James,2835
TX,M,1925,William,1985
TX,M,1925,John,1906
TX,M,1925,Robert,1727
TX,M,1925,Charles,1222
TX,M,1925,Jose,775
TX,M,1925,David,409
TX,M,1925,Daniel,224
TX,M,1925,Michael,21
TX,M,1925,Christopher,9
TX,M,1926,James,2700
TX,M,1926,John,1908
TX,M,1926,Robert,1799
TX,M,1926,William,1791
TX,M,1926,Charles,1244
TX,M,1926,Jose,801
TX,M,1926,David,404
TX,M,1926,Daniel,202
TX,M,1926,Michael,24
TX,M,1926,Christopher,9
TX,M,1927,James,2673
TX,M,1927,John,1848
TX,M,1927,William,1753
TX,M,1927,Robert,1725
TX,M,1927,Charles,1463
TX,M,1927,Jose,843
TX,M,1927,David,435
TX,M,1927,Daniel,246
TX,M,1927,Michael,26
TX,M,1927,Christopher,6
TX,M,1928,James,2622
TX,M,1928,Robert,1890
TX,M,1928,John,1799
TX,M,1928,William,1654
TX,M,1928,Charles,1412
TX,M,1928,Jose,924
TX,M,1928,David,471
TX,M,1928,Daniel,237
TX,M,1928,Michael,29
TX,M,1928,Christopher,8
TX,M,1929,James,2653
TX,M,1929,John,1814
TX,M,1929,Robert,1759
TX,M,1929,William,1637
TX,M,1929,Charles,1466
TX,M,1929,Jose,929
TX,M,1929,David,437
TX,M,1929,Daniel,204
TX,M,1929,Michael,21
TX,M,1929,Christopher,8
TX,M,1930,James,2730
TX,M,1930,Robert,1812
TX,M,1930,John,1741
TX,M,1930,Charles,1593
TX,M,1930,William,1556
TX,M,1930,Jose,882
TX,M,1930,David,575
TX,M,1930,Daniel,228
TX,M,1930,Michael,18
TX,M,1930,Christopher,5
TX,M,1931,James,2605
TX,M,1931,Robert,1732
TX,M,1931,John,1564
TX,M,1931,Charles,1560
TX,M,1931,William,1439
TX,M,1931,Jose,735
TX,M,1931,David,514
TX,M,1931,Daniel,245
TX,M,1931,Michael,23
TX,M,1931,Christopher,8
TX,M,1932,James,2687
TX,M,1932,Robert,1737
TX,M,1932,John,1668
TX,M,1932,Charles,1648
TX,M,1932,William,1363
TX,M,1932,Jose,776
TX,M,1932,David,485
TX,M,1932,Daniel,238
TX,M,1932,Michael,22
TX,M,1932,Christopher,8
TX,M,1933,James,2527
TX,M,1933,John,1624
TX,M,1933,Charles,1595
TX,M,1933,Robert,1595
TX,M,1933,William,1239
TX,M,1933,Jose,700
TX,M,1933,David,507
TX,M,1933,Daniel,215
TX,M,1933,Michael,46
TX,M,1933,Christopher,6
TX,M,1934,James,2668
TX,M,1934,Robert,1746
TX,M,1934,Charles,1703
TX,M,1934,John,1633
TX,M,1934,William,1296
TX,M,1934,Jose,775
TX,M,1934,David,611
TX,M,1934,Daniel,238
TX,M,1934,Michael,43
TX,M,1934,Christopher,6
TX,M,1935,James,2647
TX,M,1935,Robert,1746
TX,M,1935,Charles,1712
TX,M,1935,John,1671
TX,M,1935,William,1357
TX,M,1935,Jose,740
TX,M,1935,David,661
TX,M,1935,Daniel,224
TX,M,1935,Michael,80
TX,M,1935,Christopher,7
TX,M,1936,James,2591
TX,M,1936,Robert,1885
TX,M,1936,John,1648
TX,M,1936,Charles,1582
TX,M,1936,William,1281
TX,M,1936,Jose,680
TX,M,1936,David,641
TX,M,1936,Daniel,276
TX,M,1936,Michael,109
TX,M,1936,Christopher,11
TX,M,1937,James,2645
TX,M,1937,Robert,1995
TX,M,1937,John,1671
TX,M,1937,Charles,1647
TX,M,1937,William,1336
TX,M,1937,David,763
TX,M,1937,Jose,701
TX,M,1937,Daniel,255
TX,M,1937,Michael,122
TX,M,1937,Christopher,6
TX,M,1938,James,2775
TX,M,1938,Robert,2013
TX,M,1938,John,1868
TX,M,1938,Charles,1698
TX,M,1938,William,1366
TX,M,1938,David,907
TX,M,1938,Jose,741
TX,M,1938,Daniel,266
TX,M,1938,Michael,162
TX,M,1939,James,2866
TX,M,1939,Robert,1985
TX,M,1939,John,1865
TX,M,1939,Charles,1790
TX,M,1939,William,1348
TX,M,1939,David,988
TX,M,1939,Jose,692
TX,M,1939,Michael,309
TX,M,1939,Daniel,278
TX,M,1939,Christopher,5
TX,M,1940,James,2972
TX,M,1940,Robert,2150
TX,M,1940,John,2110
TX,M,1940,Charles,1843
TX,M,1940,William,1549
TX,M,1940,David,1084
TX,M,1940,Jose,755
TX,M,1940,Michael,354
TX,M,1940,Daniel,309
TX,M,1940,Christopher,7
TX,M,1941,James,3227
TX,M,1941,Robert,2309
TX,M,1941,John,2043
TX,M,1941,Charles,1897
TX,M,1941,William,1647
TX,M,1941,David,1167
TX,M,1941,Jose,800
TX,M,1941,Michael,433
TX,M,1941,Daniel,316
TX,M,1941,Christopher,20
TX,M,1942,James,3542
TX,M,1942,Robert,2502
TX,M,1942,John,2417
TX,M,1942,William,1905
TX,M,1942,Charles,1883
TX,M,1942,David,1466
TX,M,1942,Jose,856
TX,M,1942,Michael,588
TX,M,1942,Daniel,305
TX,M,1942,Christopher,13
TX,M,1943,James,3907
TX,M,1943,Robert,2832
TX,M,1943,John,2701
TX,M,1943,William,2048
TX,M,1943,Charles,1996
TX,M,1943,David,1560
TX,M,1943,Jose,892
TX,M,1943,Michael,772
TX,M,1943,Daniel,355
TX,M,1943,Christopher,19
TX,M,1944,James,3872
TX,M,1944,Robert,2866
TX,M,1944,John,2702
TX,M,1944,Charles,2011
TX,M,1944,William,2001
TX,M,1944,David,1731
TX,M,1944,Michael,1002
TX,M,1944,Jose,957
TX,M,1944,Daniel,384
TX,M,1944,Christopher,24
TX,M,1945,James,3581
TX,M,1945,Robert,2759
TX,M,1945,John,2641
TX,M,1945,Charles,1907
TX,M,1945,William,1838
TX,M,1945,David,1663
TX,M,1945,Michael,1128
TX,M,1945,Jose,1044
TX,M,1945,Daniel,461
TX,M,1945,Christopher,18
TX,M,1946,James,4046
TX,M,1946,Robert,3288
TX,M,1946,John,3004
TX,M,1946,Charles,2183
TX,M,1946,David,2107
TX,M,1946,William,2097
TX,M,1946,Michael,1495
TX,M,1946,Jose,1239
TX,M,1946,Daniel,474
TX,M,1946,Christopher,40
TX,M,1947,James,4305
TX,M,1947,Robert,3517
TX,M,1947,John,3283
TX,M,1947,David,2463
TX,M,1947,William,2291
TX,M,1947,Charles,2258
TX,M,1947,Michael,1789
TX,M,1947,Jose,1290
TX,M,1947,Daniel,554
TX,M,1947,Christopher,49
TX,M,1948,James,4120
TX,M,1948,Robert,3513
TX,M,1948,John,3198
TX,M,1948,David,2619
TX,M,1948,William,2261
TX,M,1948,Charles,2151
TX,M,1948,Michael,1945
TX,M,1948,Jose,1379
TX,M,1948,Daniel,642
TX,M,1948,Christopher,68
TX,M,1949,James,4138
TX,M,1949,Robert,3641
TX,M,1949,John,3225
TX,M,1949,David,2906
TX,M,1949,William,2385
TX,M,1949,Michael,2361
TX,M,1949,Charles,2262
TX,M,1949,Jose,1478
TX,M,1949,Daniel,645
TX,M,1949,Christopher,120
TX,M,1950,James,4178
TX,M,1950,Robert,3710
TX,M,1950,John,3301
TX,M,1950,David,3046
TX,M,1950,Michael,2726
TX,M,1950,William,2472
TX,M,1950,Charles,2273
TX,M,1950,Jose,1513
TX,M,1950,Daniel,791
TX,M,1950,Christopher,160
TX,M,1951,James,4275
TX,M,1951,Robert,3881
TX,M,1951,John,3544
TX,M,1951,David,3215
TX,M,1951,Michael,3207
TX,M,1951,William,2568
TX,M,1951,Charles,2265
TX,M,1951,Jose,1466
TX,M,1951,Daniel,851
TX,M,1951,Christopher,168
TX,M,1952,James,4560
TX,M,1952,Robert,4067
TX,M,1952,David,3792
TX,M,1952,John,3670
TX,M,1952,Michael,3464
TX,M,1952,William,2649
TX,M,1952,Charles,2205
TX,M,1952,Jose,1474
TX,M,1952,Daniel,945
TX,M,1952,Christopher,186
TX,M,1953,James,4439
TX,M,1953,David,4259
TX,M,1953,Robert,4146
TX,M,1953,Michael,3837
TX,M,1953,John,3679
TX,M,1953,William,2683
TX,M,1953,Charles,2316
TX,M,1953,Jose,1475
TX,M,1953,Daniel,1030
TX,M,1953,Christopher,223
TX,M,1954,James,4469
TX,M,1954,David,4316
TX,M,1954,Robert,4168
TX,M,1954,Michael,4005
TX,M,1954,John,3653
TX,M,1954,William,2593
TX,M,1954,Charles,2246
TX,M,1954,Jose,1463
TX,M,1954,Daniel,1119
TX,M,1954,Christopher,166
TX,M,1955,David,4634
TX,M,1955,James,4227
TX,M,1955,Robert,4031
TX,M,1955,Michael,3857
TX,M,1955,John,3500
TX,M,1955,William,2452
TX,M,1955,Charles,2185
TX,M,1955,Jose,1406
TX,M,1955,Daniel,1179
TX,M,1955,Christopher,242
TX,M,1956,David,4501
TX,M,1956,James,4435
TX,M,1956,Robert,4094
TX,M,1956,Michael,3853
TX,M,1956,John,3572
TX,M,1956,William,2391
TX,M,1956,Charles,2195
TX,M,1956,Jose,1409
TX,M,1956,Daniel,1190
TX,M,1956,Christopher,252
TX,M,1957,David,4503
TX,M,1957,James,4245
TX,M,1957,Robert,3997
TX,M,1957,Michael,3991
TX,M,1957,John,3374
TX,M,1957,William,2367
TX,M,1957,Charles,2048
TX,M,1957,Jose,1354
TX,M,1957,Daniel,1100
TX,M,1957,Christopher,266
TX,M,1958,David,4616
TX,M,1958,James,3969
TX,M,1958,Michael,3882
TX,M,1958,Robert,3682
TX,M,1958,John,3284
TX,M,1958,William,2164
TX,M,1958,Charles,1948
TX,M,1958,Jose,1301
TX,M,1958,Daniel,1024
TX,M,1958,Christopher,378
TX,M,1959,David,4773
TX,M,1959,James,3949
TX,M,1959,Robert,3591
TX,M,1959,Michael,3583
TX,M,1959,John,3235
TX,M,1959,William,2044
TX,M,1959,Charles,1809
TX,M,1959,Jose,1292
TX,M,1959,Daniel,1093
TX,M,1959,Christopher,382
TX,M,1960,David,4705
TX,M,1960,James,3969
TX,M,1960,Robert,3542
TX,M,1960,Michael,3498
TX,M,1960,John,3266
TX,M,1960,William,1893
TX,M,1960,Charles,1696
TX,M,1960,Jose,1344
TX,M,1960,Daniel,1125
TX,M,1960,Christopher,495
TX,M,1961,David,4507
TX,M,1961,James,3686
TX,M,1961,Michael,3518
TX,M,1961,Robert,3450
TX,M,1961,John,3318
TX,M,1961,William,1864
TX,M,1961,Charles,1721
TX,M,1961,Jose,1231
TX,M,1961,Daniel,1064
TX,M,1961,Christopher,555
TX,M,1962,David,4445
TX,M,1962,James,3631
TX,M,1962,Michael,3609
TX,M,1962,Robert,3389
TX,M,1962,John,3374
TX,M,1962,William,1794
TX,M,1962,Charles,1752
TX,M,1962,Jose,1236
TX,M,1962,Daniel,1087
TX,M,1962,Christopher,570
TX,M,1963,David,4150
TX,M,1963,James,3550
TX,M,1963,Michael,3487
TX,M,1963,John,3449
TX,M,1963,Robert,3370
TX,M,1963,William,1833
TX,M,1963,Charles,1523
TX,M,1963,Jose,1209
TX,M,1963,Daniel,1051
TX,M,1963,Christopher,589
TX,M,1964,David,3890
TX,M,1964,James,3793
TX,M,1964,John,3684
TX,M,1964,Michael,3385
TX,M,1964,Robert,3322
TX,M,1964,William,1797
TX,M,1964,Charles,1536
TX,M,1964,Jose,1123
TX,M,1964,Daniel,1072
TX,M,1964,Christopher,665
TX,M,1965,David,3442
TX,M,1965,Michael,3340
TX,M,1965,James,3315
TX,M,1965,John,3228
TX,M,1965,Robert,2918
TX,M,1965,William,1673
TX,M,1965,Charles,1325
TX,M,1965,Jose,1132
TX,M,1965,Daniel,1011
TX,M,1965,Christopher,844
TX,M,1966,David,3361
TX,M,1966,Michael,3295
TX,M,1966,James,3152
TX,M,1966,John,2919
TX,M,1966,Robert,2878
TX,M,1966,William,1520
TX,M,1966,Charles,1309
TX,M,1966,Jose,1157
TX,M,1966,Christopher,1069
TX,M,1966,Daniel,988
TX,M,1967,Michael,3650
TX,M,1967,David,3465
TX,M,1967,James,3256
TX,M,1967,John,3021
TX,M,1967,Robert,2826
TX,M,1967,William,1543
TX,M,1967,Charles,1270
TX,M,1967,Jose,1182
TX,M,1967,Christopher,1169
TX,M,1967,Daniel,909
TX,M,1968,Michael,3857
TX,M,1968,David,3355
TX,M,1968,James,3246
TX,M,1968,John,3138
TX,M,1968,Robert,2893
TX,M,1968,William,1675
TX,M,1968,Charles,1371
TX,M,1968,Christopher,1347
TX,M,1968,Jose,1253
TX,M,1968,Daniel,971
TX,M,1969,Michael,4182
TX,M,1969,David,3495
TX,M,1969,James,3252
TX,M,1969,John,3109
TX,M,1969,Robert,3100
TX,M,1969,William,1792
TX,M,1969,Christopher,1739
TX,M,1969,Jose,1461
TX,M,1969,Charles,1375
TX,M,1969,Daniel,1088
TX,M,1970,Michael,4317
TX,M,1970,James,3516
TX,M,1970,David,3398
TX,M,1970,John,3291
TX,M,1970,Robert,3029
TX,M,1970,Christopher,2172
TX,M,1970,William,1795
TX,M,1970,Jose,1456
TX,M,1970,Charles,1385
TX,M,1970,Daniel,1106
TX,M,1971,Michael,4265
TX,M,1971,James,3271
TX,M,1971,John,3092
TX,M,1971,David,3076
TX,M,1971,Robert,2886
TX,M,1971,Christopher,2672
TX,M,1971,William,1724
TX,M,1971,Jose,1579
TX,M,1971,Charles,1268
TX,M,1971,Daniel,1113
TX,M,1972,Michael,3967
TX,M,1972,Christopher,3116
TX,M,1972,David,2835
TX,M,1972,James,2827
TX,M,1972,John,2639
TX,M,1972,Robert,2496
TX,M,1972,Jose,1606
TX,M,1972,William,1478
TX,M,1972,Daniel,1211
TX,M,1972,Charles,1117
TX,M,1973,Michael,3831
TX,M,1973,Christopher,3008
TX,M,1973,James,2616
TX,M,1973,David,2535
TX,M,1973,John,2494
TX,M,1973,Robert,2310
TX,M,1973,Jose,1639
TX,M,1973,William,1389
TX,M,1973,Daniel,1205
TX,M,1973,Charles,995
TX,M,1974,Michael,3909
TX,M,1974,Christopher,3164
TX,M,1974,David,2543
TX,M,1974,John,2531
TX,M,1974,James,2508
TX,M,1974,Robert,2210
TX,M,1974,Jose,1882
TX,M,1974,Daniel,1399
TX,M,1974,William,1360
TX,M,1974,Charles,1028
TX,M,1975,Michael,4097
TX,M,1975,Christopher,3133
TX,M,1975,David,2547
TX,M,1975,James,2518
TX,M,1975,John,2327
TX,M,1975,Robert,2261
TX,M,1975,Jose,1824
TX,M,1975,William,1417
TX,M,1975,Daniel,1356
TX,M,1975,Charles,990
TX,M,1976,Michael,3952
TX,M,1976,Christopher,3108
TX,M,1976,David,2647
TX,M,1976,James,2510
TX,M,1976,John,2348
TX,M,1976,Robert,2134
TX,M,1976,Jose,1744
TX,M,1976,Daniel,1411
TX,M,1976,William,1317
TX,M,1976,Charles,952
TX,M,1977,Michael,3938
TX,M,1977,Christopher,3283
TX,M,1977,David,2726
TX,M,1977,James,2641
TX,M,1977,John,2487
TX,M,1977,Robert,2238
TX,M,1977,Jose,1696
TX,M,1977,Daniel,1515
TX,M,1977,William,1422
TX,M,1977,Charles,1020
TX,M,1978,Michael,3860
TX,M,1978,Christopher,3411
TX,M,1978,David,2864
TX,M,1978,James,2726
TX,M,1978,John,2534
TX,M,1978,Robert,2231
TX,M,1978,Jose,1685
TX,M,1978,Daniel,1604
TX,M,1978,William,1467
TX,M,1978,Charles,1105
TX,M,1979,Michael,3974
TX,M,1979,Christopher,3659
TX,M,1979,David,3033
TX,M,1979,James,2799
TX,M,1979,John,2763
TX,M,1979,Robert,2333
TX,M,1979,Jose,2046
TX,M,1979,Daniel,1866
TX,M,1979,William,1504
TX,M,1979,Charles,1037
TX,M,1980,Michael,4251
TX,M,1980,Christopher,3847
TX,M,1980,David,3019
TX,M,1980,James,2843
TX,M,1980,John,2714
TX,M,1980,Robert,2475
TX,M,1980,Jose,2206
TX,M,1980,Daniel,1911
TX,M,1980,William,1691
TX,M,1980,Charles,1089
TX,M,1981,Michael,4287
TX,M,1981,Christopher,3900
TX,M,1981,David,3034
TX,M,1981,James,2979
TX,M,1981,John,2839
TX,M,1981,Robert,2633
TX,M,1981,Jose,2358
TX,M,1981,Daniel,2209
TX,M,1981,William,1563
TX,M,1981,Charles,1070
TX,M,1982,Christopher,4914
TX,M,1982,Michael,4428
TX,M,1982,David,3159
TX,M,1982,James,3057
TX,M,1982,John,2944
TX,M,1982,Robert,2640
TX,M,1982,Daniel,2320
